primkey,order_id,jcp_line_number,jcp_component_numb,o_status,ship_date,comp_date,sku,lot,back_order,r_quantity,o_quantity,quality_level,match_flag,mono_flag,set_id,color_id,pick_loc,pick_period,pick_pull_time,iip_nbr,hold_flag,dss_flag,alloc_from_task,ticket_type,,,
500322594,2.02311E+13,2,0,DELETE,4/23/23 0:00,,1894017,117,Y,6,6,0,,N,0,0,J1820D4,13,,2.50347E+11,N,N,,A,,,
500322600,2.02311E+13,3,0,DELETE,4/24/23 0:00,4/24/23 0:00,572002,91,Y,1,1,0,,N,0,0,D1932E2,21,,2.50347E+11,,N,,A,,,
500322686,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,1692055,83,Y,1,1,0,,N,0,0,C2634F3,21,,2.50347E+11,,N,,A,,,
500322708,2.02311E+13,2,0,DELETE,4/24/23 0:00,4/24/23 0:00,2237111,182,Y,1,1,0,,N,0,0,B4228D2,21,,2.50347E+11,,N,,A,,,
500322740,2.02311E+13,2,0,DELETE,4/23/23 0:00,4/23/23 0:00,8451068,91,Y,1,1,0,,N,0,0,H1931C1,13,,2.50347E+11,,N,,A,,,
500322886,2.02311E+13,7,0,DELETE,4/23/23 0:00,4/23/23 0:00,1692055,75,Y,1,1,0,,N,0,0,C2601H3,13,,2.50347E+11,,N,,A,,,
500323048,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,5040429,83,Y,1,1,0,,N,0,0,C1513A3,21,,2.50347E+11,,N,,A,,,
500323436,2.02311E+13,4,0,DELETE,4/23/23 0:00,4/23/23 0:00,8143076,91,Y,1,1,0,,N,0,0,B0616F3,13,,2.50347E+11,,N,,A,,,
500323727,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,9622421,91,Y,1,1,0,,N,0,0,F2729G1,21,,2.50347E+11,,N,,A,,,
500324078,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,5116049,109,Y,1,1,0,,N,0,0,J4929F3,26,,2.50347E+11,,N,,A,,,
500324079,2.02311E+13,2,0,DELETE,4/24/23 0:00,4/24/23 0:00,5116002,1339,Y,1,1,0,,N,0,0,A4009F1,26,,2.50347E+11,,N,,A,,,
500329501,2.02311E+13,5,0,DELETE,4/23/23 0:00,4/23/23 0:00,2834006,18,Y,1,1,0,,N,0,0,Q0037A1,13,,2.50351E+11,,N,,A,,,
500333520,2.02311E+13,2,0,DELETE,4/23/23 0:00,4/23/23 0:00,8511742,75,Y,1,1,0,,N,0,0,J2432G3,14,,2.50354E+11,,N,,A,,,
500338586,2.02311E+13,2,0,DELETE,4/23/23 0:00,4/23/23 0:00,2540101,257,Y,1,1,0,,N,0,0,B4421E1,11,,2.50357E+11,,N,,A,,,
500341830,2.02311E+13,6,0,DELETE,4/23/23 0:00,4/23/23 0:00,8511742,83,Y,1,1,0,,N,0,0,J2410G3,18,,2.50359E+11,,N,,A,,,
500346650,2.02311E+13,9,0,DELETE,4/23/23 0:00,4/23/23 0:00,8451028,299,Y,1,1,0,,N,0,0,B1812C1,16,,2.50362E+11,,N,,A,,,
500347342,2.02311E+13,5,0,DELETE,4/24/23 0:00,4/24/23 0:00,1249015,42,Y,1,1,0,,N,0,0,B2821B1,21,,2.50363E+11,,N,,A,,,
500347832,2.02311E+13,1,0,DELETE,4/23/23 0:00,4/23/23 0:00,8941204,34,Y,1,1,0,,N,0,0,E4511C1,16,,2.50363E+11,,N,,A,,,
500353466,2.02311E+13,2,0,DELETE,4/23/23 0:00,4/23/23 0:00,3801362,34,Y,1,1,0,,N,0,0,G2938F1,15,,2.50367E+11,,N,,A,,,
500354218,2.02311E+13,2,0,DELETE,4/24/23 0:00,4/24/23 0:00,2332002,224,Y,1,1,0,,N,0,0,A5211E1,21,,2.50367E+11,,N,,A,,,
500354992,2.02311E+13,3,0,DELETE,4/24/23 0:00,4/24/23 0:00,2332001,398,Y,1,1,0,,N,0,0,E4202H3,21,,2.50368E+11,,N,,A,,,
500369361,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,2291323,91,Y,1,1,0,,N,0,0,K4711H1,21,,2.50379E+11,,N,,A,,,
500369808,2.02311E+13,1,0,DELETE,4/23/23 0:00,4/24/23 0:00,1248751,331,Y,2,2,0,,N,0,0,G3818A5,17,,2.50379E+11,N,N,,A,,,
500371373,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,8451028,307,Y,1,1,0,,N,0,0,B1829H2,26,,2.5038E+11,,N,,A,,,
500372251,2.02311E+13,4,0,DELETE,4/24/23 0:00,4/24/23 0:00,8406017,109,Y,6,6,0,,N,0,0,B6101F4,27,,2.50381E+11,,N,,A,,,
500373392,2.02311E+13,4,0,DELETE,4/24/23 0:00,,8450204,1297,Y,1,1,0,,N,0,0,B4415D4,34,,2.50381E+11,,N,,A,,,
500373431,2.02311E+13,3,0,DELETE,4/23/23 0:00,4/23/23 0:00,5690272,75,Y,1,1,0,,N,0,0,G3704D4,14,,2.50381E+11,,N,,A,,,
500377332,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,5040272,91,Y,1,1,0,,N,0,0,C1111D1,25,,2.50384E+11,,N,,A,,,
500389924,2.02311E+13,4,0,DELETE,4/24/23 0:00,,5368212,67,Y,1,1,0,,N,0,0,B5132E1,31,,2.50394E+11,,N,,A,,,
500394296,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,9622046,34,Y,1,1,0,,N,0,0,J1906H4,21,,2.50397E+11,,N,,A,,,
500396031,2.02311E+13,2,0,DELETE,4/23/23 0:00,4/23/23 0:00,8251077,83,Y,1,1,0,,N,0,0,G2823G3,12,,2.50398E+11,,N,,A,,,
500396323,2.02311E+13,1,0,DELETE,4/24/23 0:00,,1523001,117,Y,2,2,0,,N,0,0,F1108E3,31,,2.50398E+11,,N,,A,,,
500397345,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,1242440,232,Y,2,2,0,,N,0,0,A4632H2,21,,2.50399E+11,,N,,A,,,
500397371,2.02311E+13,1,0,DELETE,4/23/23 0:00,4/23/23 0:00,8460347,42,Y,1,1,0,,N,0,0,B4021E4,15,,2.50399E+11,,N,,A,,,
500403651,2.02311E+13,3,0,DELETE,4/24/23 0:00,,9622065,26,Y,1,1,0,,N,0,0,C2222D1,36,,2.50404E+11,,N,,A,,,
500404662,2.02311E+13,1,0,DELETE,4/24/23 0:00,,1523000,75,Y,1,1,0,,N,0,0,K2629D1,34,,2.50405E+11,,N,,A,,,
500404857,2.02311E+13,1,0,DELETE,4/24/23 0:00,,1020309,18,Y,1,1,0,,N,0,0,B4029E2,34,,2.50405E+11,,N,,A,,,
500405117,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,2256147,67,Y,1,1,0,,N,0,0,H3528C1,21,,2.50405E+11,,N,,A,,,
500406267,2.02311E+13,1,0,DELETE,4/24/23 0:00,,8460329,75,Y,1,1,0,,N,0,0,B0638A3,34,,2.50406E+11,,N,,A,,,
500409801,2.02311E+13,1,0,DELETE,4/24/23 0:00,,3232309,83,Y,2,2,0,,N,0,0,G4326A6,32,,2.50409E+11,,N,,A,,,
500409921,2.02311E+13,1,0,DELETE,4/24/23 0:00,,1249853,109,Y,2,2,0,,N,0,0,D5022E2,33,,2.50409E+11,,N,,A,,,
500410457,2.02311E+13,4,0,DELETE,4/24/23 0:00,,8511742,91,Y,1,1,0,,N,0,0,J2420E2,34,,2.50409E+11,,N,,A,,,
500410921,2.02311E+13,3,0,DELETE,4/24/23 0:00,4/24/23 0:00,8941204,26,Y,1,1,0,,N,0,0,E4720C2,21,,2.5041E+11,,N,,A,,,
500410951,2.02311E+13,2,0,DELETE,4/24/23 0:00,,153012,67,Y,1,1,0,,N,0,0,D1122G3,34,,2.50409E+11,,N,,A,,,
500411002,2.02311E+13,5,0,DELETE,4/24/23 0:00,,8511729,67,Y,1,1,0,,N,0,0,G3540B2,33,,2.5041E+11,,N,,A,,,
500411030,2.02311E+13,7,0,DELETE,4/24/23 0:00,4/24/23 0:00,3487198,59,Y,1,1,0,,N,0,0,F5340B4,21,,2.5041E+11,,N,,A,,,
500411184,2.02311E+13,1,0,DELETE,4/24/23 0:00,,2256147,42,Y,1,1,0,,N,0,0,H3503D3,32,,2.5041E+11,,N,,A,,,
