zone_1,zone_2,zone_3,mod_type,top_off,,,
TIERACK,,,A90,Y,,,
HARDLINES,,,A70,Y,,,
LOW-SEASON,,,A10,Y,,,
HI-SEASON,,,A90,Y,,,
HI-SEASON,,,A34,Y,,,
HANGING,,,X20,Y,,,
LONGBINS_L,,,W19,Y,,,
LONGBINS_L,,,W21,Y,,,
TIERACK_E,,,W60,Y,,,
SMALL_A,,,A01,Y,,,
LONGBIN_S,,,W13,Y,,,
LONGBINS,,,W19,Y,,,
HI-SEASON,,,A35,Y,,,
NONCONVEY,,,W32,Y,,,
SWATCH,,,A96,Y,,,
STDCOST0,,,A10,Y,,,
HARDLINES,,,A90,Y,,,
TIERACK_W,,,W91,Y,,,
FLATWARE,,,W53,Y,,,
HG WOMEN,,,X18,Y,,,
HEAVIES,,,W91,Y,,,
RUGS_L,,,W71,Y,,,
STDCOST0,,,W30,Y,,,
LONGBIN_S,,,W16,Y,,,
D5_ABIN,,,A06,Y,,,
GADGETS,,,A20,Y,,,
FLATWARE,,,W32,Y,,,
SLICKRAIL,,,X15,Y,,,
VAULT,,,A91,Y,,,
LONGBINS_L,,,W41,Y,,,
HARDLINES,,,A34,Y,,,
RUGS_L,,,W44,Y,,,
BIGSHOE,,,A91,Y,,,
TIERACK,,,A92,Y,,,
TIERACK,,,A91,Y,,,
TIERACK,,,A96,Y,,,
HI-SEASON,,,A69,Y,,,
TOYSWING,,,A93,Y,,,
TOYSWING,,,A96,Y,,,
BIGSHOE,,,A92,Y,,,
TOYSWING,,,A79,Y,,,
HEAVIES,,,W92,Y,,,
STDCOST0,,,A35,Y,,,
STDCOST0,,,A90,Y,,,
STDCOST0,,,A20,Y,,,
LOW-SEASON,,,A35,Y,,,
HI-SEASON,,,A36,Y,,,
HI-SEASON,,,A70,Y,,,
LOW-SEASON,,,A69,Y,,,
TIERACK,,,A94,Y,,,
WCONVEY,,,W23,Y,,,
WCONVEY,,,W27,Y,,,
REGULATED,,,W91,Y,,,
SMALL_A,,,A06,Y,,,
TOWELS,,,A95,Y,,,
REGULATED,,,W36,Y,,,
REGULATED,,,W35,Y,,,
REGULATEDL,,,W36,Y,,,
TOWELS,,,A91,Y,,,
WCONVEY,,,W30,Y,,,
SWING,,,A94,Y,,,
TOYSWING,,,A94,Y,,,
SWING,,,A90,Y,,,
FLATWARE,,,W54,Y,,,
FLATWARE,,,W56,Y,,,
